UTILITY CHARATERISTICS,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,Revenue,Sales,Customers,Revenue,Sales,Customers,Revenue,Sales,Customers,Revenue,Sales,Customers,Revenue,Sales,Customers
Year,Month,Utility Number,Utility Name,State,Ownership,Data Status,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count
2018,1,0,Adjustment 2018,AK,,Final,4869.525,20696.734,24012,7102.539,27384.881,10379,2397.534,10527.825,570,0,0,0,14369.598,58609.44,34961
2018,1,213,Alaska Electric Light&Power Co,AK,Investor Owned,Final,2242.584,17133.499,14653,1194.65,11162.583,2300,1527.634,11893.696,134,0,0,0,4964.868,40189.778,17087
2018,1,219,Alaska Power and Telephone Co,AK,Investor Owned,Final,790.691,2609.372,5478,879.942,3301.148,2336,0,0,0,0,0,0,1670.633,5910.52,7814
2018,1,221,"Alaska Village Elec Coop, Inc",AK,Cooperative,Final,1923.295,4131.686,8191,2770.253,7094.061,3265,0,0,0,0,0,0,4693.548,11225.747,11456
2018,1,599,Anchorage Municipal Light and Power,AK,Municipal,Final,2367.931,12833.577,24593,10691.367,74730.499,6425,0,0,0,0,0,0,13059.298,87564.076,31018
2018,1,3522,Chugach Electric Assn Inc,AK,Cooperative,Final,10088,50431,71501,8286,50475,9581,632,4252,7,0,0,0,19006,105158,81089
2018,1,7353,Golden Valley Elec Assn Inc,AK,Cooperative,Final,7557.553,28979.213,39121,2951.439,11932.428,6568,13195.761,69123.083,521,0,0,0,23704.753,110034.724,46210
2018,1,10210,Ketchikan Public Utilities,AK,Municipal,Final,853.152,8098.825,6488,650.421,6675.84,1319,147.068,1676.005,17,0,0,0,1650.641,16450.67,7824
2018,1,10433,Kodiak Electric Assn Inc,AK,Cooperative,Final,659,3843,4791,352,2105,1034,821,5281,106,0,0,0,1832,11229,5931
2018,1,10451,Kotzebue Electric Assn Inc,AK,Cooperative,Final,270.992,719.314,1175,367.936,1053.166,113,0,0,0,0,0,0,638.928,1772.48,1288
2018,1,11824,Matanuska Electric Assn Inc,AK,Cooperative,Final,9597.233,46408.756,58302,4757.293,26246.58,5988,0,0,0,0,0,0,14354.526,72655.336,64290
2018,1,19277,TDX North Slope Generating Co,AK,Investor Owned,Final,0,0,0,1368.48,7202.24,164,0,0,0,0,0,0,1368.48,7202.24,164
2018,1,19558,Homer Electric Assn Inc,AK,Cooperative,Final,4536.934,16748.289,27446,3614.291,15042.928,4076,1464.48,13778.505,27,0,0,0,9615.705,45569.722,31549
2018,1,88888,Total EPM,AK,,Final,45756.89,212633.265,285751,44986.611,244406.354,53548,20185.477,116532.114,1382,0,0,0,110928.978,573571.733,340681
2018,1,0,Adjustment 2018,AL,,Final,119994.413,1096250.631,696098,51353.349,468353.514,126874,21134.06,294534.395,1058,0,0,0,192481.822,1859138.54,824030
2018,1,195,Alabama Power Co,AL,Investor Owned,Final,261716,2150276,1268837,146316,1245179,200288,121887,1924425,6156,0,0,0,529919,5319880,1475281
