UTILITY CHARATERISTICS,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,Revenue,Sales,Customers,Revenue,Sales,Customers,Revenue,Sales,Customers,Revenue,Sales,Customers,Revenue,Sales,Customers
Year,Month,Utility Number,Utility Name,State,Ownership,Data Status,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count
2019,1,0,Adjustment 2019,AK,,Final,4746.47,19842.566,24751,7609.795,28734.99,10733,2293.795,11118.342,292,0,0,0,14650.06,59695.898,35776
2019,1,213,Alaska Electric Light&Power Co,AK,Investor Owned,Final,2305.47,15675.592,14733,1237.161,9644.879,2333,738.865,5894.984,146,0,0,0,4281.496,31215.455,17212
2019,1,219,Alaska Power and Telephone Co,AK,Investor Owned,Final,763.099,2554.446,5583,884.092,3277.236,2420,0,0,0,0,0,0,1647.191,5831.682,8003
2019,1,221,"Alaska Village Elec Coop, Inc",AK,Cooperative,Final,2117.056,4121.118,8182,3146.616,7246.7,3300,0,0,0,0,0,0,5263.672,11367.818,11482
2019,1,599,Anchorage Municipal Light and Power,AK,Municipal,Final,3016.362,13359.508,24582,12207.828,78556.382,6415,0,0,0,0,0,0,15224.19,91915.89,30997
2019,1,3522,Chugach Electric Assn Inc,AK,Cooperative,Final,9999.92,49848.389,71782,8039.536,49056.773,9719,686.081,5372.176,7,0,0,0,18725.537,104277.338,81508
2019,1,7353,Golden Valley Elec Assn Inc,AK,Cooperative,Final,7993.535,33029.245,39325,3004.395,12742.787,6624,10506.637,59138.89,519,0,0,0,21504.567,104910.922,46468
2019,1,10210,Ketchikan Public Utilities,AK,Municipal,Final,872.303,7874.749,6500,674.74,6950.526,1339,162.722,1808.5,16,0,0,0,1709.765,16633.775,7855
2019,1,10433,Kodiak Electric Assn Inc,AK,Cooperative,Final,690,4084,4821,369,2241,1056,1090,6925,106,0,0,0,2149,13250,5983
2019,1,10451,Kotzebue Electric Assn Inc,AK,Cooperative,Final,334.69,879.549,1174,403.013,1128.706,112,0,0,0,0,0,0,737.703,2008.255,1286
2019,1,11824,Matanuska Electric Assn Inc,AK,Cooperative,Final,9256.689,45099.04,59039,4996.21,27484.144,6206,0,0,0,0,0,0,14252.899,72583.184,65245
2019,1,19277,TDX North Slope Generating Co,AK,Investor Owned,Final,0,0,0,1165.39,5804.56,164,0,0,0,0,0,0,1165.39,5804.56,164
2019,1,19558,Homer Electric Assn Inc,AK,Cooperative,Final,4461.396,17269.031,27723,3341.293,14491.206,4170,1111.197,9731.549,24,0,0,0,8913.886,41491.786,31917
2019,1,88888,Total EPM,AK,,Final,46556.99,213637.233,288195,47079.069,247359.889,54591,16589.297,99989.441,1110,0,0,0,110225.356,560986.563,343896
2019,1,0,Adjustment 2019,AL,,Final,100196.041,885613.603,703011,48857.465,445832.354,125270,20938.991,302931.446,217,0,0,0,169992.497,1634377.403,828498
