UTILITY CHARATERISTICS,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,Revenue,Sales,Customers,Revenue,Sales,Customers,Revenue,Sales,Customers,Revenue,Sales,Customers,Revenue,Sales,Customers
Year,Month,Utility Number,Utility Name,State,Ownership,Data Status,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count
2014,1,0,Adjustment 2014,AK,,Final,4894.207,22575.105,29911,8074.647,30150.134,12923,2141.773,10231.358,527,0,0,0,15110.627,62956.597,43361
2014,1,213,Alaska Electric Light&Power Co,AK,Investor Owned,Final,1915.653,15405.945,14061,1244.58,11889.055,2233,1090.688,11197.385,97,0,0,0,4250.921,38492.385,16391
2014,1,219,Alaska Power and Telephone Co,AK,Investor Owned,Final,695.485,2277.675,4833,831.186,2885.79,2105,0,0,0,0,0,0,1526.671,5163.465,6938
2014,1,599,Anchorage Municipal Light and Power,AK,Municipal,Final,2227.224,14704.836,24357,9799.016,81343.147,6380,0,0,0,0,0,0,12026.24,96047.983,30737
2014,1,1651,Bethel Utilities Corp,AK,Investor Owned,Final,652.012,1118.558,1699,1558.244,2776.929,965,0,0,0,0,0,0,2210.256,3895.487,2664
2014,1,3522,Chugach Electric Assn Inc,AK,Cooperative,Final,8434,54493,70004,6296,48676,9294,538,4365,7,0,0,0,15268,107534,79305
2014,1,7353,Golden Valley Elec Assn Inc,AK,Cooperative,Final,6894.067,32956.918,38223,2602.778,13171.203,6357,12145.595,79238.185,505,0,0,0,21642.44,125366.306,45085
2014,1,10210,Ketchikan Public Utilities,AK,Municipal,Final,797.939,8006.704,6258,665.712,7141.266,1226,152.972,1822.192,13,0,0,0,1616.623,16970.162,7497
2014,1,10433,Kodiak Electric Assn Inc,AK,Cooperative,Final,597,3603,4723,350,2189,1046,944,6190,102,0,0,0,1891,11982,5871
2014,1,10451,Kotzebue Electric Assn Inc,AK,Cooperative,Final,311,737,1143,472,1173,127,0,0,0,0,0,0,783,1910,1270
2014,1,11824,Matanuska Electric Assn Inc,AK,Cooperative,Final,8093,54497,55441,3095,25027,3803,0,0,0,0,0,0,11188,79524,59244
2014,1,19277,TDX North Slope Generating Co,AK,Investor Owned,Final,0,0,0,1556,6706,75,0,0,0,0,0,0,1556,6706,75
2014,1,19558,Homer Electric Assn Inc,AK,Cooperative,Final,4643.178,19271.849,26202,3683,16937.745,3998,723.36,8469.205,23,0,0,0,9049.538,44678.799,30223
2014,1,88888,Total EPM,AK,,Final,40154.765,229647.59,276855,40228.163,250066.269,50532,17736.388,121513.325,1274,0,0,0,98119.316,601227.184,328661
2014,1,0,Adjustment 2014,AL,,Final,109817.293,1031177.179,666871,46883.111,441125.302,121188,20501.978,277087.464,387,0,0,0,177202.382,1749389.945,788446
2014,1,195,Alabama Power Co,AL,Investor Owned,Final,248214,2261442,1242496,141177,1289129,196718,119607,1894505,5905,0,0,0,508998,5445076,1445119
