UTILITY CHARATERISTICS,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,Revenue,Sales,Customers,Revenue,Sales,Customers,Revenue,Sales,Customers,Revenue,Sales,Customers,Revenue,Sales,Customers
Year,Month,Utility Number,Utility Name,State,Ownership,Data Status,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count
2025,12,0,State Adjustment 2025,AK,,Preliminary,5695.758,19365.727,27400,9996.74,34963.385,11402,2658.589,10812.858,327,0,0,0,18351.087,65141.97,39129
2025,12,213,Alaska Electric Light & Power Co.,AK,Investor Owned,Preliminary,2690.512,18700.478,15560,1324.133,10664.256,2529,1038.205,8668.632,147,0,0,0,5052.85,38033.366,18236
2025,12,219,Alaska Power and Telephone Co,AK,Investor Owned,Preliminary,1277.152,2893.602,5837,1709.07,4262.753,2854,0,0,0,0,0,0,2986.222,7156.355,8691
2025,12,221,"Alaska Village Elec Coop, Inc",AK,Cooperative,Preliminary,3057.747,4747.427,8431,3829.401,7156.433,3014,0,0,0,0,0,0,6887.148,11903.86,11445
2025,12,3522,Chugach Electric Assn Inc,AK,Cooperative,Preliminary,14748.326,66032.772,98329,18321.964,113471.118,16580,810.217,5351.924,5,0,0,0,33880.507,184855.814,114914
2025,12,7353,Golden Valley Elec Assn Inc,AK,Cooperative,Preliminary,10058.934,32953.392,41123,3826.993,12739.207,7093,16656.419,77718.916,603,0,0,0,30542.346,123411.515,48819
2025,12,10210,Ketchikan Public Utilities,AK,Municipal,Preliminary,1059.681,7463.962,6614,913.908,6934.302,1414,164.396,1459.704,14,0,0,0,2137.985,15857.968,8042
2025,12,10433,Kodiak Electric Assn Inc,AK,Cooperative,Preliminary,843,4399,4659,503,2661,1574,1046,6461,124,0,0,0,2392,13521,6357
2025,12,10451,Kotzebue Electric Assn Inc,AK,Cooperative,Preliminary,381.1,788.6,1194,478.3,1051.5,123,0,0,0,0,0,0,859.4,1840.1,1317
2025,12,11824,Matanuska Electric Assn Inc,AK,Cooperative,Preliminary,13005.097,53281.626,65909,6169.476,28743.517,6994,0,0,0,0,0,0,19174.573,82025.143,72903
2025,12,19277,TDX North Slope Generating Co,AK,Investor Owned,Preliminary,0,0,0,1303.37,5348.64,162,0,0,0,0,0,0,1303.37,5348.64,162
2025,12,19558,Homer Electric Assn Inc,AK,Cooperative,Preliminary,6382.565,21153.066,30367,4673.811,17443.535,4449,2141.542,13386.32,20,0,0,0,13197.918,51982.921,34836
2025,12,88888,State Total,AK,,Preliminary,59199.872,231779.652,305423,53050.166,245439.646,58188,24515.368,123859.354,1240,0,0,0,136765.406,601078.652,364851
2025,12,0,State Adjustment 2025,AL,,Preliminary,121779.733,847477.031,783483,60593.963,454500.619,138934,27019.905,334199.382,1071,0,0,0,209393.601,1636177.032,923488
2025,12,195,Alabama Power Co,AL,Investor Owned,Preliminary,288316,1645914,1347258,169309,1030051,209430,148887,1700689,6090,0,0,0,606512,4376654,1562778
