UTILITY CHARATERISTICS,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,Revenue,Sales,Customers,Revenue,Sales,Customers,Revenue,Sales,Customers,Revenue,Sales,Customers,Revenue,Sales,Customers
Year,Month,Utility Number,Utility Name,State,Ownership,Data Status,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count
2015,1,0,Adjustment 2015,AK,,Final,4422.673,21253.981,24395,7133.656,28767.565,10018,2109.59,10681.3,528,0,0,0,13665.919,60702.846,34941
2015,1,213,Alaska Electric Light&Power Co,AK,Investor Owned,Final,1913.998,15449.014,14132,1187.91,11386.218,2277,1089.611,11159.477,96,0,0,0,4191.519,37994.709,16505
2015,1,219,Alaska Power and Telephone Co,AK,Investor Owned,Final,768.624,2418.033,5254,846.16,3042.149,2281,0,0,0,0,0,0,1614.784,5460.182,7535
2015,1,221,"Alaska Village Elec Coop, Inc",AK,Cooperative,Final,2230,3847,7835,3433,6776,2991,0,0,0,0,0,0,5663,10623,10826
2015,1,599,Anchorage Municipal Light and Power,AK,Municipal,Final,2191.513,13614.03,24355,10116.939,79423.94,6372,0,0,0,0,0,0,12308.452,93037.97,30727
2015,1,3522,Chugach Electric Assn Inc,AK,Cooperative,Final,8457,55439,70384,6371,51041,9437,501,4606,7,0,0,0,15329,111086,79828
2015,1,7353,Golden Valley Elec Assn Inc,AK,Cooperative,Final,6300.829,29539.028,38351,2451.376,12197.989,6404,10259.909,69494.99,500,0,0,0,19012.114,111232.007,45255
2015,1,10210,Ketchikan Public Utilities,AK,Municipal,Final,749.434,7458.973,6346,594.018,6387.334,1273,117.532,1359.774,14,0,0,0,1460.984,15206.081,7633
2015,1,10433,Kodiak Electric Assn Inc,AK,Cooperative,Final,652,3871,4787,357,2181,1054,931,5933,101,0,0,0,1940,11985,5942
2015,1,10451,Kotzebue Electric Assn Inc,AK,Cooperative,Final,272,685,1148,421,1126,130,0,0,0,0,0,0,693,1811,1278
2015,1,11824,Matanuska Electric Assn Inc,AK,Cooperative,Final,9907,48439,56639,4284,23907,3866,0,0,0,0,0,0,14191,72346,60505
2015,1,19277,TDX North Slope Generating Co,AK,Investor Owned,Final,0,0,0,1980,9060,161,0,0,0,0,0,0,1980,9060,161
2015,1,19558,Homer Electric Assn Inc,AK,Cooperative,Final,3927.56,16922.766,26474,3133.451,15304.034,4044,947.639,9019.274,23,0,0,0,8008.65,41246.074,30541
2015,1,88888,Total EPM,AK,,Final,41792.631,218936.825,280100,42309.51,250600.229,50308,15956.281,112253.815,1269,0,0,0,100058.422,581790.869,331677
2015,1,0,Adjustment 2015,AL,,Final,104282.976,958504.217,676298,47051.611,448201.616,122512,21293.796,283106.972,320,0,0,0,172628.383,1689812.805,799130
2015,1,195,Alabama Power Co,AL,Investor Owned,Final,208205,1849109,1248270,127996,1184907,197710,108835,1965919,6034,0,0,0,445036,4999935,1452014
