UTILITY CHARATERISTICS,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,Revenue,Sales,Customers,Revenue,Sales,Customers,Revenue,Sales,Customers,Revenue,Sales,Customers,Revenue,Sales,Customers
Year,Month,Utility Number,Utility Name,State,Ownership,Data Status,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count
2017,1,0,Adjustment 2017,AK,,Final,4846.72,22721.609,24478,7039.254,28583.091,10307,2346.187,11118.238,562,0,0,0,14232.161,62422.938,35347
2017,1,213,Alaska Electric Light&Power Co,AK,Investor Owned,Final,2198.615,17417.008,14504,1174.28,11467.4,2287,1592.553,12266.407,126,0,0,0,4965.448,41150.815,16917
2017,1,219,Alaska Power and Telephone Co,AK,Investor Owned,Final,858.35,2689.815,5451,860.646,3255.111,2298,0,0,0,0,0,0,1718.996,5944.926,7749
2017,1,221,"Alaska Village Elec Coop, Inc",AK,Cooperative,Final,1800.357,4170.451,7863,2424.458,6945.22,3045,0,0,0,0,0,0,4224.815,11115.671,10908
2017,1,599,Anchorage Municipal Light and Power,AK,Municipal,Final,2523.901,14231.621,24506,11383.938,78183.338,6405,0,0,0,0,0,0,13907.839,92414.959,30911
2017,1,3522,Chugach Electric Assn Inc,AK,Cooperative,Final,10529,55341,71198,7842,50675,9621,535,4180,7,0,0,0,18906,110196,80826
2017,1,7353,Golden Valley Elec Assn Inc,AK,Cooperative,Final,8052.615,33070.222,38876,2991.583,12896.891,6525,12967.974,72167.968,502,0,0,0,24012.172,118135.081,45903
2017,1,10210,Ketchikan Public Utilities,AK,Municipal,Final,939.639,8962.885,6451,693.996,7155.362,1291,137.569,1592.924,17,0,0,0,1771.204,17711.171,7759
2017,1,10433,Kodiak Electric Assn Inc,AK,Cooperative,Final,635,3711,4739,338,2021,1034,989,6112,106,0,0,0,1962,11844,5879
2017,1,10451,Kotzebue Electric Assn Inc,AK,Cooperative,Final,271,732,1149,397,1141,132,0,0,0,0,0,0,668,1873,1281
2017,1,11824,Matanuska Electric Assn Inc,AK,Cooperative,Final,10363.96,53426.775,57342,4772.559,28400.181,6005,0,0,0,0,0,0,15136.519,81826.956,63347
2017,1,19277,TDX North Slope Generating Co,AK,Investor Owned,Final,0,0,0,1736.15,7259.65,165,0,0,0,0,0,0,1736.15,7259.65,165
2017,1,19558,Homer Electric Assn Inc,AK,Cooperative,Final,4649.853,18497.63,27195,3392.535,15149.241,4070,1231.047,10945.652,25,0,0,0,9273.435,44592.523,31290
2017,1,88888,Total EPM,AK,,Final,47669.01,234972.016,283752,45046.399,253132.485,53185,19799.33,118383.189,1345,0,0,0,112514.739,606487.69,338282
2017,1,0,Adjustment 2017,AL,,Final,93023.865,832977.79,686349,46267.796,421440.548,127859,20291.902,290920.747,1050,0,0,0,159583.563,1545339.085,815258
2017,1,195,Alabama Power Co,AL,Investor Owned,Final,188800,1443202,1262878,130783,1081336,199643,110351,1857871,6102,0,0,0,429934,4382409,1468623
